групи споживачів;Адміністративний район;місто / селище / підприємство;вулиця;номер буд
1.2;Тернопіль;Тернопіль;Золотогірська;всі
1.2;Тернопіль;Тернопіль;Бенцаля;всі
1.2;Тернопіль;Тернопіль;П. Батьківського;всі
1.2;Тернопіль;Тернопіль;Покрови;всі
1.2;Тернопіль;Тернопіль;Михайлевича;всі
1.2;Тернопіль;Тернопіль;Мирна;всі
1.2;Тернопіль;Тернопіль;Проектна;всі
1.2;Тернопіль;Тернопіль;Глибочанська;всі
1.2;Тернопіль;Тернопіль;Калинова;всі
1.2;Тернопіль;Тернопіль;Калинова бічна;всі
1.2;Тернопіль;Тернопіль;Медобірна;всі
1.2;Тернопіль;Тернопіль;Хутірська;всі
1.2;Тернопіль;Тернопіль;Зарічна;всі
1.2;Тернопіль;Тернопіль;Низинна;всі
1.2;Тернопіль;Тернопіль;Вербова;всі
1.2;Тернопіль;Тернопіль;Грабовського;всі
1.2;Тернопіль;Тернопіль;Загребельна;всі
1.2;Тернопіль;Тернопіль;Волинська;всі
1.2;Тернопіль;Тернопіль;Південна;всі
1.2;Тернопіль;Тернопіль;Куток;всі
1.2;Тернопіль;Тернопіль;Спадиста;всі
1.2;Тернопіль;Тернопіль;Львівська;всі
1.2;Тернопіль;Тернопіль;майдан Перемоги;всі
1.2;Тернопіль;Тернопіль;Наукова;всі
1.2;Тернопіль;Тернопіль;Університетська;всі
1.2;Тернопіль;Тернопіль;Ринок Західний;всі
1.2;Тернопіль;Тернопіль;"ресторан ""Хутір""";всі
1.2;Тернопіль;Тернопіль;Макдоналдз;всі
1.2;Тернопіль;Тернопіль;Орнава;всі
1.2;Тернопіль;Тернопіль;Торговиця;15Б
2.1;Кременецький район;Кременець;Вишнівецька;всі
2.1;Кременецький район;Кременець;Моргви;всі
2.1;Кременецький район;Кременець;Космонавтів;всі
2.1;Кременецький район;Кременець;Климова;всі
2.1;Кременецький район;Кременець;Корнії;всі
2.1;Кременецький район;Кременець;Сільська;всі
2.1;Кременецький район;Кременець;Макова;всі
2.1;Кременецький район;Кременець;Вербова;всі
2.1;Кременецький район;Кременець;Шкільна;всі
2.1;Кременецький район;Кременець;Садова;всі
2.1;Кременецький район;Кременець;Замкова;всі
2.1;Кременецький район;Кременець; Кривоноса;всі
2.1;Кременецький район;Кременець; Грушевського;всі
2.1;Кременецький район;Кременець;І. Франка;всі
2.1;Кременецький район;Кременець;Грабівка;всі
2.1;Кременецький район;Кременець;Ляшуки;всі
2.1;Кременецький район;Кременець;Переліски;всі
2.1;Кременецький район;Кременець;Сичівка;1
2.1;Кременецький район;Кременець;Сичівка;2
2.1;Кременецький район;Кременець;Липовиця ;1
2.1;Кременецький район;Кременець;Липовиця ;2
