групи споживачів;Адміністративний район;місто / селище / підприємство;вулиця;номер буд
1.2;Тернопіль;Тернопіль;Шашкевича;17
1.2;Тернопіль;Тернопіль;Шашкевича;18
1.2;Тернопіль;Тернопіль;Шашкевича;19
1.2;Тернопіль;Тернопіль;Паращука;всі
1.2;Тернопіль;Тернопіль;Медова;всі
1.2;Тернопіль;Тернопіль;Героїв Євромайдану;всі
1.2;Тернопіль;Тернопіль;Микулинецька;1
1.2;Тернопіль;Тернопіль;Микулинецька;1А
1.2;Тернопіль;Тернопіль;Микулинецька;3А
1.2;Тернопіль;Тернопіль;Оболоня;всі
1.2;Тернопіль;Тернопіль;Острозького;28
1.2;Тернопіль;Тернопіль;Тиха;всі
1.2;Тернопіль;Тернопіль;Юрчака;всі
1.2;Тернопіль;Тернопіль;Стадникової;1
1.2;Тернопіль;Тернопіль;Стадникової;2
1.2;Тернопіль;Тернопіль;Стадникової;3
1.2;Тернопіль;Тернопіль;Стадникової;4
1.2;Тернопіль;Тернопіль;Стадникової;5
1.2;Тернопіль;Тернопіль;Стадникової;6
1.2;Тернопіль;Тернопіль;Стадникової;7
1.2;Тернопіль;Тернопіль;Стадникової;8
1.2;Тернопіль;Тернопіль;Стадникової;9
1.2;Тернопіль;Тернопіль;Стадникової;10
1.2;Тернопіль;Тернопіль;Стадникової;11
1.2;Тернопіль;Тернопіль;Стадникової;12
1.2;Тернопіль;Тернопіль;Стадникової;13
1.2;Тернопіль;Тернопіль;Стадникової;14
1.2;Тернопіль;Тернопіль;Стадникової;15
1.2;Тернопіль;Тернопіль;Стадникової;17
1.2;Тернопіль;Тернопіль;Стадникової;18
1.2;Тернопіль;Тернопіль;Стадникової;19
1.2;Тернопіль;Тернопіль;Стадникової;20
1.2;Тернопіль;Тернопіль;Тернопільська;всі
1.2;Тернопіль;Тернопіль;Хліборобна;всі
1.2;Тернопіль;Тернопіль;Яблунева;всі
1.2;Тернопіль;Тернопіль;Підгірна;всі
1.2;Тернопіль;Тернопіль;Д. Віконської;всі
1.2;Тернопіль;Тернопіль;Урожайна;всі
1.2;Тернопіль;Тернопіль;Вишнева;всі
1.2;Тернопіль;Тернопіль;Лісова;всі
1.2;Тернопіль;Тернопіль;Болюха;всі
1.2;Тернопіль;Тернопіль;Глибока Долина;всі
1.2;Тернопіль;Тернопіль;Приміська;всі
